question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,difficulty,source_file
d1359f34,Your website has a chatbot to assist customers. You need to detect when a customer is upset based on what the customer types in the chatbot. Which type of AI workload should you use?,anomaly detection,semantic segmentation,regression,natural language processing,D,"Natural language processing (NLP) is used for tasks such as sentiment analysis, topic detection, language detection, key phrase extraction, and document categorization. Sentiment Analysis is the process of determining whether a piece of writing is positive, negative or neutral.",Unknown,Unknown,AI-900 Exam.pdf
86d12d99,"Which AI service can you use to interpret the meaning of a user input such as ""Call me back later?""",Translator Text,Text Analytics,Speech,Language Understanding (LUIS),B,"Text Analytics is an AI service that uncovers insights such as sentiment, entities, and key phrases in unstructured text. Incorrect Answers: D: Language Understanding (LUIS) is a cloud-based API service, not an AI service, that applies custom machine-learning intelligence to a user's conversational, natural language text to predict overall meaning, and pull out relevant, detailed information.",Unknown,Unknown,AI-900 Exam.pdf
2bb26607,You are developing a chatbot solution in Azure. Which service should you use to determine a user's intent?,Translator Text,QnA Maker,Speech,Language Understanding (LUIS),D,"Language Understanding (LUIS) is a cloud-based API service that applies custom machine-learning intelligence to a user's conversational, natural language text to predict overall meaning, and pull out relevant, detailed information. Design your LUIS model with categories of user intentions called intents. Each intent needs examples of user utterances. Each utterance can provide data that needs to be extracted with machine-learning entities.",Unknown,Unknown,AI-900 Exam.pdf
41ff5b4d,Which scenario is an example of a webchat bot?,"Determine whether reviews entered on a website for a concert are positive or negative, and then add a thumbs up or thumbs down emoji to the reviews.",Translate into English questions entered by customers at a kiosk so that the appropriate person can call the customers back.,"Accept questions through email, and then route the email messages to the correct person based on the content of the message.","From a website interface, answer common questions about scheduled events and ticket purchases for a music festival.",D,,Unknown,Unknown,AI-900 Exam.pdf
432a7e36,Which AI service should you use to create a bot from a frequently asked questions (FAQ) document?,QnA Maker,Language Understanding (LUIS),Text Analytics,Speech,A,,Unknown,Unknown,AI-900 Exam.pdf
c0ea2fe3,You are building an AI system. Which task should you include to ensure that the service meets the Microsoft transparency principle for responsible AI?,Ensure that all visuals have an associated text that can be read by a screen reader.,Enable autoscaling to ensure that a service scales based on demand.,Provide documentation to help developers debug code.,Ensure that a training dataset is representative of the population.,C,,Unknown,Unknown,AI-900 Exam.pdf
c30b71f8,Your company is exploring the use of voice recognition technologies in its smart home devices. The company wants to identify any barriers that might unintentionally leave out speci c user groups. This an example of which Microsoft guiding principle for responsible AI?,accountability,fairness,inclusiveness,privacy and security,C,,Unknown,Unknown,AI-900 Exam.pdf
5fcb6973,You are evaluating whether to use a basic workspace or an enterprise workspace in Azure Machine Learning. What are two tasks that require an enterprise workspace? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Use a graphical user interface (GUI) to run automated machine learning experiments.,Create a compute instance to use as a workstation.,Use a graphical user interface (GUI) to de ne and run machine learning experiments from Azure Machine Learning designer.,Create a dataset from a comma-separated value (CSV)  le.,None,Note: Enterprise workspaces are no longer available as of September 2020. The basic workspace now has all the functionality of the enterprise workspace.,Unknown,Unknown,AI-900 Exam.pdf
bf7d96dd,In which two scenarios can you use the Form Recognizer service? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Extract the invoice number from an invoice.,Translate a form from French to English.,Find image of product in a catalog.,Identity the retailer from a receipt.,None,,Unknown,Unknown,AI-900 Exam.pdf
07c79797,In which two scenarios can you use speech recognition? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,an in-car system that reads text messages aloud,providing closed captions for recorded or live videos,creating an automated public address system for a train station,creating a transcript of a telephone call or meeting,None,,Unknown,Unknown,AI-900 Exam.pdf
6f4f3309,You need to build an app that will read recipe instructions aloud to support users who have reduced vision. Which version service should you use?,Text Analytics,Translator Text,Speech,Language Understanding (LUIS),C,,Unknown,Unknown,AI-900 Exam.pdf
621c9696,You need to reduce the load on telephone operators by implementing a chatbot to answer simple questions with prede ned answers. Which two AI service should you use to achieve the goal? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,Text Analytics,QnA Maker,Azure Bot Service,Translator Text,None,Bots are a popular way to provide support through multiple communication channels. You can use the QnA Maker service and Azure Bot Service to create a bot that answers user questions.,Unknown,Unknown,AI-900 Exam.pdf
c030b44b,Which two scenarios are examples of a conversational AI workload? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,"a smart device in the home that responds to questions such as ""What will the weather be like today?""",a website that uses a knowledge base to interactively respond to users' questions,assembly line machinery that autonomously inserts headlamps into cars,monitoring the temperature of machinery to turn on a fan when the temperature reaches a speci c threshold,None,,Unknown,Unknown,AI-900 Exam.pdf
2f82a3a1,You have the process shown in the following exhibit. Which type AI solution is shown in the diagram?,a sentiment analysis solution,a chatbot,a machine learning model,a computer vision application,B,,Unknown,Unknown,AI-900 Exam.pdf
e0fa203a,You need to develop a web-based AI solution for a customer support system. Users must be able to interact with a web app that will guide them to the best resource or answer. Which service should you use?,Custom Vision,QnA Maker,Translator Text,Face,B,"QnA Maker is a cloud-based API service that lets you create a conversational question-and-answer layer over your existing data. Use it to build a knowledge base by extracting questions and answers from your semi-structured content, including FAQs, manuals, and documents. Answer users' questions with the best answers from the QnAs in your knowledge base""""automatically. Your knowledge base gets smarter, too, as it continually learns from user behavior. Incorrect Answers: A: Azure Custom Vision is a cognitive service that lets you build, deploy, and improve your own image classi ers. An image classi er is an AI service that applies labels (which represent classes) to images, according to their visual characteristics. Unlike the Computer Vision service, Custom Vision allows you to specify the labels to apply. D: Azure Cognitive Services Face Detection API: At a minimum, each detected face corresponds to a faceRectangle eld in the response. This set of pixel coordinates for the left, top, width, and height mark the located face. Using these coordinates, you can get the location of the face and its size. In the API response, faces are listed in size order from largest to smallest.",Unknown,Unknown,AI-900 Exam.pdf
25e9ccec,You need to provide content for a business chatbot that will help answer simple user queries. What are three ways to create question and answer text by using QnA Maker? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Generate the questions and answers from an existing webpage.,Use automated machine learning to train a model based on a le that contains the questions.,Manually enter the questions and answers.,Connect the bot to the Cortana channel and ask questions by using Cortana.,None,"Automatic extraction - Extract question-answer pairs from semi-structured content, including FAQ pages, support websites, excel les, SharePoint documents, product manuals and policies.",Unknown,Unknown,AI-900 Exam.pdf
756d4a12,You have a frequently asked questions (FAQ) PDF le. You need to create a conversational support system based on the FAQ. Which service should you use?,QnA Maker,Text Analytics,Computer Vision,Language Understanding (LUIS),A,"QnA Maker is a cloud-based API service that lets you create a conversational question-and-answer layer over your existing data. Use it to build a knowledge base by extracting questions and answers from your semi-structured content, including FAQs, manuals, and documents.",Unknown,Unknown,AI-900 Exam.pdf
2037d519,You are developing a natural language processing solution in Azure. The solution will analyze customer reviews and determine how positive or negative each review is. This is an example of which type of natural language processing workload?,language detection,sentiment analysis,key phrase extraction,entity recognition,B,"Sentiment Analysis is the process of determining whether a piece of writing is positive, negative or neutral.",Unknown,Unknown,AI-900 Exam.pdf
93d0b02f,You use natural language processing to process text from a Microsoft news story. You receive the output shown in the following exhibit. Which type of natural languages processing was performed?,entity recognition,key phrase extraction,sentiment analysis,translation,B,"Key phrase extraction/ Broad entity extraction: Identify important concepts in text, including key phrases and named entities such as people, places, and organizations.",Unknown,Unknown,AI-900 Exam.pdf
132f4b55,You are developing a solution that uses the Text Analytics service. You need to identify the main talking points in a collection of documents. Which type of natural language processing should you use?,entity recognition,key phrase extraction,sentiment analysis,language detection,B,"Broad entity extraction: Identify important concepts in text, including key phrases and named entities such as people, places, and organizations.",Unknown,Unknown,AI-900 Exam.pdf
60dc8b41,You need to make the press releases of your company available in a range of languages. Which service should you use?,Translator Text,Text Analytics,Speech,Language Understanding (LUIS),A,"Translator is a cloud-based machine translation service you can use to translate text in near real-time through a simple REST API call. The service uses modern neural machine translation technology and offers statistical machine translation technology. Custom Translator is an extension of Translator, which allows you to build neural translation systems.",Unknown,Unknown,AI-900 Exam.pdf
1f907965,What are two tasks that can be performed by using the Computer Vision service? Each correct answer presents a complete solution.,Train a custom image classi cation model.,Detect faces in an image.,Recognize handwritten text.,Translate the text in an image between languages.,None,"B: Azure's Computer Vision service provides developers with access to advanced algorithms that process images and return information based on the visual features you're interested in. For example, Computer Vision can determine whether an image contains adult content, nd speci c brands or objects, or nd human faces. C: Computer Vision includes Optical Character Recognition (OCR) capabilities. You can use the new Read API to extract printed and handwritten text from images and documents.",Unknown,Unknown,AI-900 Exam.pdf
68169bfd,What is a use case for classi cation?,predicting how many cups of coffee a person will drink based on how many hours the person slept the previous night.,analyzing the contents of images and grouping images that have similar colors,predicting whether someone uses a bicycle to travel to work based on the distance from home to work,predicting how many minutes it will take someone to run a race based on past race times,B,"Classi cation is a machine learning method that uses data to determine the category, type, or class of an item or row of data.",Unknown,Unknown,AI-900 Exam.pdf
