question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,difficulty,source_file
ec01e704,A company employs a team of customer service agents to provide telephone and email support to customers. The company develops a webchat bot to provide automated answers to common customer queries. Which business benefit should the company expect as a result of creating the webchat bot solution?,increased sales,a reduced workload for the customer service agents,improved product reliability,,B,,AI Workloads & Considerations,Easy,printable.pdf
1ca1a6e4,"For a machine learning progress, how should you split data for training and evaluation?",Use features for training and labels for evaluation.,Randomly split the data into rows for training and rows for evaluation.,Use labels for training and features for evaluation.,Randomly split the data into columns for training and columns for evaluation.,B,"The Split Data module is particularly useful when you need to separate data into training and testing sets. Use the Split Rows option if you want to divide the data into two parts. You can specify the percentage of data to put in each split, but by default, the data is divided 50-50. You can also randomize the selection of rows in each group, and use stratified sampling. Reference: https://docs.microsoft.com/en-us/azure/machine-learning/studio-module-reference/split-data",Fundamental Principles of ML,Easy,printable.pdf
7d7e94df,You are developing a model to predict events by using classification. You have a confusion matrix for the model scored on test data as shown in the following exhibit. Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic. Note: Each correct selection is worth one point.,,,,,A,"Box 1: 11 TP = True Positive. The class labels in the training set can take on only two possible values, which we usually refer to as positive or negative. The positive and negative instances that a classifier predicts correctly are called true positives (TP) and true negatives (TN), respectively. Similarly, the incorrectly classified instances are called false positives (FP) and false negatives (FN). Box 2: 1,033 FN = False Negative Reference: https://docs.microsoft.com/en-us/azure/machine-learning/studio/evaluate-model-performance",Fundamental Principles of ML,Medium,printable.pdf
ac342e4f,You build a machine learning model by using the automated machine learning user interface (UI). You need to ensure that the model meets the Microsoft transparency principle for responsible AI. What should you do?,Set Validation type to Auto.,Enable Explain best model.,Set Primary metric to accuracy.,Set Max concurrent iterations to 0.,B,"Model Explain Ability. Most businesses run on trust and being able to open the ML black box helps build transparency and trust. In heavily regulated industries like healthcare and banking, it is critical to comply with regulations and best practices. One key aspect of this is understanding the relationship between input variables (features) and model output. Knowing both the magnitude and direction of the impact each feature (feature importance) has on the predicted value helps better understand and explain the model. With model explain ability, we enable you to understand feature importance as part of automated ML runs. Reference: https://azure.microsoft.com/en-us/blog/new-automated-machine-learning-capabilities-in-azure-machine-learning-service/",AI Workloads & Considerations,Medium,printable.pdf
2e61d09e,"For each of the following statements, select Yes if the statement is true. Otherwise, select No. Note: Each correct selection is worth one point.",,,,,A,Anomaly detection encompasses many important tasks in machine learning: Identifying transactions that are potentially fraudulent. Learning patterns that indicate that a network intrusion has occurred. Finding abnormal clusters of patients. Checking values entered into a system. Reference: https://docs.microsoft.com/en-us/azure/machine-learning/studio-module-reference/anomaly-detection,AI Workloads & Considerations,Easy,printable.pdf
b1824ee5,"To complete the sentence, select the appropriate option in the answer area.",,,,,A,"Reliability and safety: AI systems need to be reliable and safe in order to be trusted. It is important for a system to perform as it was originally designed and for it to respond safely to new situations. Its inherent resilience should resist intended or unintended manipulation. Rigorous testing and validation should be established for operating conditions to ensure that the system responds safely to edge cases, and A/B testing and champion/challenger methods should be integrated into the evaluation process. An AI system's performance can degrade over time, so a robust monitoring and model tracking process needs to be established to reactively and proactively measure the model's performance and retrain it, as necessary, to modernize it. Reference: https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/innovate/best-practices/trusted-ai",AI Workloads & Considerations,Easy,printable.pdf
2125777e,"Match the types of AI workloads to the appropriate scenarios. To answer, drag the appropriate workload type from the column on the left to its scenario on the right. Each workload type may be used once, more than once, or not at all. Note: Each correct selection is worth one point.",,,,,A,"Box 3: Natural language processing Natural language processing (NLP) is used for tasks such as sentiment analysis, topic detection, language detection, key phrase extraction, and document categorization. Reference: https://docs.microsoft.com/en-us/azure/architecture/data-guide/technology-choices/natural-language-processing",AI Workloads & Considerations,Medium,printable.pdf
0c9c111f,"You are designing an AI system that empowers everyone, including people who have hearing, visual, and other impairments. This is an example of which Microsoft guiding principle for responsible AI?",fairness,inclusiveness,reliability and safety,accountability,B,"Inclusiveness: At Microsoft, we firmly believe everyone should benefit from intelligent technology, meaning it must incorporate and address a broad range of human needs and experiences. For the 1 billion people with disabilities around the world, AI technologies can be a game-changer. Reference: https://docs.microsoft.com/en-us/learn/modules/responsible-ai-principles/4-guiding-principles",AI Workloads & Considerations,Medium,printable.pdf
7b934e55,"Match the Microsoft guiding principles for responsible AI to the appropriate descriptions. To answer, drag the appropriate principle from the column on the left to its description on the right. Each principle may be used once, more than once, or not at all. Note: Each correct selection is worth one point.",,,,,A,"Box 1: Reliability and safety To build trust, it's critical that AI systems operate reliably, safely, and consistently under normal circumstances and in unexpected conditions. These systems should be able to operate as they were originally designed, respond safely to unanticipated conditions, and resist harmful manipulation. Box 2: Accountability The people who design and deploy AI systems must be accountable for how their systems operate. Organizations should draw upon industry standards to develop accountability norms. These norms can ensure that AI systems are not the final authority on any decision that impacts people's lives and that humans maintain meaningful control over otherwise highly autonomous AI systems. Box 3: Privacy and security As AI becomes more prevalent, protecting privacy and securing important personal and business information is becoming more critical and complex. With AI, privacy and data security issues require especially close attention because access to data is essential for AI systems to make accurate and informed predictions and decisions about people. AI systems must comply with privacy laws that require transparency about the collection, use, and storage of data and mandate that consumers have appropriate controls to choose how their data is used Reference: https://docs.microsoft.com/en-us/learn/modules/responsible-ai-principles/4-guiding-principles",AI Workloads & Considerations,Medium,printable.pdf
56726009,You are building an AI system. Which task should you include to ensure that the service meets the Microsoft transparency principle for responsible AI?,Ensure that all visuals have an associated text that can be read by a screen reader.,Enable autoscaling to ensure that a service scales based on demand.,Provide documentation to help developers debug code.,Ensure that a training dataset is representative of the population.,C,Reference: https://docs.microsoft.com/en-us/learn/modules/responsible-ai-principles/4-guiding-principles,AI Workloads & Considerations,Medium,printable.pdf
f26dadf6,Your company is exploring the use of voice recognition technologies in its smart home devices. The company wants to identify any barriers that might unintentionally leave out specific user groups. This an example of which Microsoft guiding principle for responsible AI?,accountability,fairness,inclusiveness,privacy and security,C,Reference: https://docs.microsoft.com/en-us/learn/modules/responsible-ai-principles/4-guiding-principles,AI Workloads & Considerations,Easy,printable.pdf
27f98c29,What are three Microsoft guiding principles for responsible AI? Each correct answer presents a complete solution. Note: Each correct selection is worth one point.,knowledgeability,decisiveness,inclusiveness,,None,,AI Workloads & Considerations,Easy,printable.pdf
70d830ba,You run a charity event that involves posting photos of people wearing sunglasses on Twitter. You need to ensure that you only retweet photos that meet the following requirements: -Include one or more faces. -Contain at least one person wearing sunglasses. What should you use to analyze the images?,the Verify operation in the Face service,the Detect operation in the Face service,the Describe Image operation in the Computer Vision service,the Analyze Image operation in the Computer Vision service,B,,Computer Vision,Easy,printable.pdf
931ab44e,"When you design an AI system to assess whether loans should be approved, the factors used to make the decision should be explainable. This is an example of which Microsoft guiding principle for responsible AI?",transparency,inclusiveness,fairness,privacy and security,A,"Achieving transparency helps the team to understand the data and algorithms used to train the model, what transformation logic was applied to the data, the final model generated, and its associated assets. This information offers insights about how the model was created, which allows it to be reproduced in a transparent way. Incorrect Answers: B: Inclusiveness mandates that AI should consider all human races and experiences, and inclusive design practices can help developers to understand and address potential barriers that could unintentionally exclude people. Where possible, speech-to-text, text-to-speech, and visual recognition technology should be used to empower people with hearing, visual, and other impairments. C: Fairness is a core ethical principle that all humans aim to understand and apply. This principle is even more important when AI systems are being developed. Key checks and balances need to make sure that the system's decisions don't discriminate or run a gender, race, sexual orientation, or religion bias toward a group or individual. D: A data holder is obligated to protect the data in an AI system, and privacy and security are an integral part of this system. Personal needs to be secured, and it should be accessed in a way that doesn't compromise an individual's privacy.",AI Workloads & Considerations,Easy,printable.pdf
6fc6afb4,You are building an AI-based app. You need to ensure that the app uses the principles for responsible AI. Which two principles should you follow? Each correct answer presents part of the solution.,Implement an Agile software development methodology,Implement a process of AI model validation as part of the software review process,"Establish a risk governance committee that includes members of the legal team, members of the risk management team, and a privacy officer",Prevent the disclosure of the use of AI-based algorithms for automated decision making,None,,AI Workloads & Considerations,Easy,printable.pdf
67809048,You have the Predicted vs. True chart shown in the following exhibit. Which type of model is the chart used to evaluate?,classification,regression,clustering,,B,"What is a Predicted vs. True chart? Predicted vs. True shows the relationship between a predicted value and its correlating true value for a regression problem. This graph can be used to measure performance of a model as the closer to the y=x line the predicted values are, the better the accuracy of a predictive model.",Fundamental Principles of ML,Medium,printable.pdf
cfccfcc2,Which type of machine learning should you use to predict the number of gift cards that will be sold next month?,classification,regression,clustering,,B,"In the most basic sense, regression refers to prediction of a numeric target. Linear regression attempts to establish a linear relationship between one or more independent variables and a numeric outcome, or dependent variable. You use this module to define a linear regression method, and then train a model using a labeled dataset. The trained model can then be used to make predictions.",Fundamental Principles of ML,Easy,printable.pdf
eb670f0a,You have a dataset that contains information about taxi journeys that occurred during a given period. You need to train a model to predict the fare of a taxi journey. What should you use as a feature?,the number of taxi journeys in the dataset,the trip distance of individual taxi journeys,the fare of individual taxi journeys,the trip ID of individual taxi journeys,B,"The label is the column you want to predict. The identified Featuresare the inputs you give the model to predict the Label. Example: The provided data set contains the following columns: vendor_id: The ID of the taxi vendor is a feature. rate_code: The rate type of the taxi trip is a feature. passenger_count: The number of passengers on the trip is a feature. trip_time_in_secs: The amount of time the trip took. You want to predict the fare of the trip before the trip is completed. At that moment, you don't know how long the trip would take. Thus, the trip time is not a feature and you'll exclude this column from the model. trip_distance: The distance of the trip is a feature. payment_type: The payment method (cash or credit card) is a feature. fare_amount: The total taxi fare paid is the label.",Fundamental Principles of ML,Medium,printable.pdf
1ffc15ff,You need to predict the sea level in meters for the next 10 years. Which type of machine learning should you use?,classification,regression,clustering,,B,"In the most basic sense, regression refers to prediction of a numeric target. Linear regression attempts to establish a linear relationship between one or more independent variables and a numeric outcome, or dependent variable. You use this module to define a linear regression method, and then train a model using a labeled dataset. The trained model can then be used to make predictions.",Fundamental Principles of ML,Easy,printable.pdf
281b27aa,"Which service should you use to extract text, key/value pairs, and table data automatically from scanned documents?",Form Recognizer,Text Analytics,Language Understanding,Custom Vision,A,"Accelerate your business processes by automating information extraction. Form Recognizer applies advanced machine learning to accurately extract text, key/ value pairs, and tables from documents. With just a few samples, Form Recognizer tailors its understanding to your documents, both on-premises and in the cloud. Turn forms into usable data at a fraction of the time and cost, so you can focus more time acting on the information rather than compiling it.",Document Intelligence & Knowledge Mining,Easy,printable.pdf
6090d97e,You use Azure Machine Learning designer to publish an inference pipeline. Which two parameters should you use to access the web service? Each correct answer presents part of the solution. Note: Each correct selection is worth one point.,the model name,the training endpoint,the authentication key,the REST endpoint,None,"You can consume a published pipeline in the Published pipelines page. Select a published pipeline and find the REST endpoint of it. To consume the pipeline, you need: -The REST endpoint for your service -The Primary Key for your service",AI Workloads & Considerations,Medium,printable.pdf
0d465c25,"You have the following dataset. You plan to use the dataset to train a model that will predict the house price categories of houses. What are Household Income and House Price Category? To answer, select the appropriate option in the answer area. Note: Each correct selection is worth one point.",,,,,A,,Fundamental Principles of ML,Easy,printable.pdf
65764d25,A medical research project uses a large anonymized dataset of brain scan images that are categorized into predefined brain haemorrhage types. You need to use machine learning to support early detection of the different brain haemorrhage types in the images before the images are reviewed by a person. This is an example of which type of machine learning?,clustering,regression,classification,,C,,Computer Vision,Medium,printable.pdf
b0fef9e9,"When training a model, why should you randomly split the rows into separate subsets?",to train the model twice to attain better accuracy,to train multiple models simultaneously to attain better performance,to test the model by using data that was not used to train the model,,C,,Fundamental Principles of ML,Easy,printable.pdf
