question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,difficulty,source_file
c34e8f8f,Which AI service should you use to create a bot from a frequently asked questions (FAQ) document?,QnA Maker,Language Understanding (LUIS),Text Analytics,Speech,A,,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
f89280c1,You need to reduce the load on telephone operators by implementing a chatbot to answer simple questions with prede ned answers. Which two AI service should you use to achieve the goal? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.,Text Analytics,QnA Maker,Azure Bot Service,Translator Text,None,Bots are a popular way to provide support through multiple communication channels. You can use the QnA Maker service and Azure Bot Service to create a bot that answers user questions.,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
aa90f717,Which two scenarios are examples of a conversational AI workload? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,"a smart device in the home that responds to questions such as ""What will the weather be like today?""",a website that uses a knowledge base to interactively respond to users' questions,assembly line machinery that autonomously inserts headlamps into cars,monitoring the temperature of machinery to turn on a fan when the temperature reaches a speci c threshold,None,,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
8a88dbed,You have the process shown in the following exhibit. Which type AI solution is shown in the diagram?,a sentiment analysis solution,a chatbot,a machine learning model,a computer vision application,B,,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
36ac03ec,You need to develop a web-based AI solution for a customer support system. Users must be able to interact with a web app that will guide them to the best resource or answer. Which service should you use?,Custom Vision,QnA Maker,Translator Text,Face,B,,Unknown,Unknown,AI-900_lastest_dump_2021.pdf
2a70bc42,You need to provide content for a business chatbot that will help answer simple user queries. What are three ways to create question and answer text by using QnA Maker? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.,Generate the questions and answers from an existing webpage.,Use automated machine learning to train a model based on a  le that contains the questions.,Manually enter the questions and answers.,Connect the bot to the Cortana channel and ask questions by using Cortana.,None,"Automatic extraction - Extract question-answer pairs from semi-structured content, including FAQ pages, support websites, excel  les, SharePoint documents, product manuals and policies.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
c11fa302,You have a frequently asked questions (FAQ) PDF  le. You need to create a conversational support system based on the FAQ. Which service should you use?,QnA Maker,Text Analytics,Computer Vision,Language Understanding (LUIS),A,"QnA Maker is a cloud-based API service that lets you create a conversational question-and-answer layer over your existing data. Use it to build a knowledge base by extracting questions and answers from your semi-structured content, including FAQs, manuals, and documents.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
14615470,You are developing a natural language processing solution in Azure. The solution will analyze customer reviews and determine how positive or negative each review is. This is an example of which type of natural language processing workload?,language detection,sentiment analysis,key phrase extraction,entity recognition,B,"Sentiment Analysis is the process of determining whether a piece of writing is positive, negative or neutral.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
c7d73059,You use natural language processing to process text from a Microsoft news story. You receive the output shown in the following exhibit. Which type of natural languages processing was performed?,entity recognition,key phrase extraction,sentiment analysis,translation,B,"Key phrase extraction/ Broad entity extraction: Identify important concepts in text, including key phrases and named entities such as people, places, and organizations.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
89361ba1,You are developing a solution that uses the Text Analytics service. You need to identify the main talking points in a collection of documents. Which type of natural language processing should you use?,entity recognition,key phrase extraction,sentiment analysis,language detection,B,"Broad entity extraction: Identify important concepts in text, including key Key phrase extraction/ Broad entity extraction: Identify important concepts in text, including key phrases and named entities such as people, places, and organizations.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
b6312067,You need to make the press releases of your company available in a range of languages. Which service should you use?,Translator Text,Text Analytics,Speech,Language Understanding (LUIS),A,"Translator is a cloud-based machine translation service you can use to translate text in near real-time through a simple REST API call. The service uses modern neural machine translation technology and offers statistical machine translation technology. Custom Translator is an extension of Translator, which allows you to build neural translation systems.",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
a2572fa7,Your website has a chatbot to assist customers. You need to detect when a customer is upset based on what the customer types in the chatbot. Which type of AI workload should you use?,anomaly detection,semantic segmentation,regression,natural language processing,D,"Natural language processing (NLP) is used for tasks such as sentiment analysis, topic detection, language detection, key phrase extraction, and document categorization. Sentiment Analysis is the process of determining whether a piece of writing i",Unknown,Unknown,AI-900_lastest_dump_2021.pdf
